,GVKEY,datadate,tic,prccd,caldt,vwretx,filing_date,year,td_count,excess_return
360,126554,2017-03-08,A,51.41,3/8/2017,-0.002221,filing date 0,2017,245,0.02202179588957698
422,126554,2017-06-06,A,60.1,6/6/2017,-0.00292,filing date 0,2017,245,-0.017500261337389467
486,126554,2017-09-06,A,64.71,9/6/2017,0.003118,filing date 0,2017,245,0.016082530500466152
561,126554,2017-12-21,A,67.52,12/21/2017,0.001918,filing date 0,2017,245,-0.002827988198622622
610,126554,2018-03-06,A,68.11,3/6/2018,0.002611,filing date 0,2018,244,0.0290072934149459
670,126554,2018-05-31,A,61.92,5/31/2018,-0.006886,filing date 0,2018,244,0.003890012621101002
734,126554,2018-08-30,A,67.26,8/30/2018,-0.004436,filing date 0,2018,244,0.008088126451287314
811,126554,2018-12-20,A,65.19,12/20/2018,-0.015984,filing date 0,2018,244,-0.0033645552079374363
860,126554,2019-03-05,A,79.74,3/5/2019,-0.001095,filing date 0,2019,244,-0.008943809768318323
920,126554,2019-05-30,A,66.89,5/30/2019,0.002005,filing date 0,2019,244,0.0036217236301281375
985,126554,2019-08-30,A,71.11,8/30/2019,0.000633,filing date 0,2019,244,0.022207202043964314
1062,126554,2019-12-19,A,84.51,12/19/2019,0.00447,filing date 0,2019,244,0.012375031351380628
1111,126554,2020-03-03,A,80.32,3/3/2020,-0.028047,filing date 0,2020,244,-0.0037015020718924596
1173,126554,2020-06-01,A,89.91,6/1/2020,0.003935,filing date 0,2020,244,0.01191700260865769
1238,126554,2020-09-01,A,101.12,9/1/2020,0.007933,filing date 0,2020,244,-0.014921801850807603
1314,126554,2020-12-18,A,119.3,12/18/2020,-0.003434,filing date 0,2020,244,-0.0052216950211083635
1362,126554,2021-03-02,A,123.64,3/2/2021,-0.008146,filing date 0,2021,242,-0.05126769149571364
1425,126554,2021-06-01,A,137.2,6/1/2021,-0.000397,filing date 0,2021,242,-0.007762970915730527
1490,126554,2021-09-01,A,175.45,9/1/2021,0.000384,filing date 0,2021,242,0.013141567687069755
1565,126554,2021-12-17,A,151.42,12/17/2021,-0.010268,filing date 0,2021,242,0.03373661545587958
3015,1045,2017-02-22,AAL,46.32,2/22/2017,-0.001103,filing date 0,2017,206,-0.012047905753238441
3060,1045,2017-04-27,AAL,43.98,4/27/2017,0.000614,filing date 0,2017,206,-0.056278454593261196
3124,1045,2017-07-28,AAL,50.49,7/28/2017,-0.001454,filing date 0,2017,206,0.008667219082673316
3187,1045,2017-10-26,AAL,48.61,10/26/2017,0.001247,filing date 0,2017,206,-0.0896548122609514
3266,1045,2018-02-21,AAL,52.78,2/21/2018,-0.005498,filing date 0,2018,206,0.0404570358470584
3311,1045,2018-04-26,AAL,42.37,4/26/2018,0.010462,filing date 0,2018,206,-0.047716191179261624
3374,1045,2018-07-26,AAL,40.02,7/26/2018,-0.003051,filing date 0,2018,206,0.04597810042847161
3438,1045,2018-10-25,AAL,32.37,10/25/2018,0.018863,filing date 0,2018,206,0.13257830199180654
